date,text,sentiment_score,source
2023-01-01,"Prices are reasonable, happy with my shopping.",0.391,social_media
2023-01-02,"Prices are reasonable, happy with my shopping.",0.549,social_media
2023-01-03,Great deals at the store today!,0.461,social_media
2023-01-04,Found good discounts on produce.,0.123,social_media
2023-01-05,Found good discounts on produce.,0.205,social_media
2023-01-06,"Prices are reasonable, happy with my shopping.",0.146,social_media
2023-01-07,Great deals at the store today!,0.459,social_media
2023-01-08,Great deals at the store today!,0.423,social_media
2023-01-09,Found good discounts on produce.,0.364,social_media
2023-01-10,Grocery shopping was pleasant today.,0.245,social_media
2023-01-11,Great deals at the store today!,0.431,social_media
2023-01-12,Grocery shopping was pleasant today.,0.43,social_media
2023-01-13,"Prices are reasonable, happy with my shopping.",0.402,social_media
2023-01-14,"Prices are reasonable, happy with my shopping.",0.29,social_media
2023-01-15,Great deals at the store today!,0.323,social_media
2023-01-16,Found good discounts on produce.,0.211,social_media
2023-01-17,"Prices are reasonable, happy with my shopping.",0.297,social_media
2023-01-18,Great deals at the store today!,0.298,social_media
2023-01-19,Great deals at the store today!,0.276,social_media
2023-01-20,Great deals at the store today!,0.287,social_media
2023-01-21,"Prices are reasonable, happy with my shopping.",0.464,social_media
2023-01-22,"Prices are reasonable, happy with my shopping.",0.158,social_media
2023-01-23,Great deals at the store today!,0.348,social_media
2023-01-24,"Prices are reasonable, happy with my shopping.",0.351,social_media
2023-01-25,Found good discounts on produce.,0.367,social_media
2023-01-26,"Prices are reasonable, happy with my shopping.",0.263,social_media
2023-01-27,Grocery shopping was pleasant today.,0.38,social_media
2023-01-28,Great deals at the store today!,0.066,social_media
2023-01-29,Great deals at the store today!,0.393,social_media
2023-01-30,Great deals at the store today!,0.284,social_media
2023-01-31,Grocery shopping was pleasant today.,0.363,social_media
2023-02-01,Found good discounts on produce.,0.209,social_media
2023-02-02,Found good discounts on produce.,0.533,social_media
2023-02-03,"Prices are reasonable, happy with my shopping.",0.272,social_media
2023-02-04,"Prices are reasonable, happy with my shopping.",0.534,social_media
2023-02-05,Grocery shopping was pleasant today.,0.434,social_media
2023-02-06,Great deals at the store today!,0.292,social_media
2023-02-07,"Prices are reasonable, happy with my shopping.",0.445,social_media
